MUNI_ID_DPTO;NOMBRE_DPTO;MUNI_ID_MPIO;NOMBRE_MPIO
85;CASANARE;440;VILLANUEVA
13;BOLIVAR;442;MARIA LA BAJA
15;BOYACA;442;MARIPI
17;CALDAS;442;MARMATO
20;CESAR;443;MANAURE BALCON DEL CESAR
73;TOLIMA;443;SAN SEBASTIAN DE MARIQUITA
17;CALDAS;444;MARQUETALIA
68;SANTANDER;444;MATANZA
17;CALDAS;446;MARULANDA
73;TOLIMA;449;MELGAR
19;CAUCA;450;MERCADERES
27;CHOCO;450;MEDIO SAN JUAN
50;META;450;PUERTO CONCORDIA
15;BOYACA;455;MIRAFLORES
19;CAUCA;455;MIRANDA
66;RISARALDA;456;MISTRATO
13;BOLIVAR;458;MONTECRISTO
18;CAQUETA;460;MILAN
47;MAGDALENA;460;NUEVA GRANADA
73;TOLIMA;461;MURILLO
15;BOYACA;464;MONGUA
23;CORDOBA;464;MOMIL
68;SANTANDER;464;MOGOTES
15;BOYACA;466;MONGUI
23;CORDOBA;466;MONTELIBANO
05;ANTIOQUIA;467;MONTEBELLO
13;BOLIVAR;468;MOMPOS
68;SANTANDER;468;MOLAGAVITA
15;BOYACA;469;MONIQUIRA
63;QUINDIO;470;MONTENEGRO
13;BOLIVAR;473;MORALES
19;CAUCA;473;MORALES
25;CUNDINAMARCA;473;MOSQUERA
52;NARINO;473;MOSQUERA
70;SUCRE;473;MORROA
05;ANTIOQUIA;475;MURINDO
15;BOYACA;476;MOTAVITA
18;CAQUETA;479;MORELIA
05;ANTIOQUIA;480;MUTATA
15;BOYACA;480;MUZO
52;NARINO;480;NARINO
54;NORTE DE SANTANDER;480;MUTISCUA
05;ANTIOQUIA;483;NARINO
25;CUNDINAMARCA;483;NARINO
41;HUILA;483;NATAGA
73;TOLIMA;483;NATAGAIMA
17;CALDAS;486;NEIRA
25;CUNDINAMARCA;486;NEMOCON
25;CUNDINAMARCA;488;NILO
25;CUNDINAMARCA;489;NIMAIMA
05;ANTIOQUIA;490;NECOCLI
13;BOLIVAR;490;NOROSI
52;NARINO;490;OLAYA HERRERA
15;BOYACA;491;NOBSA
25;CUNDINAMARCA;491;NOCAIMA
27;CHOCO;491;NOVITA
15;BOYACA;494;NUEVO COLON
05;ANTIOQUIA;495;NECHI
17;CALDAS;495;NORCASIA
27;CHOCO;495;NUQUI
76;VALLE DEL CAUCA;497;OBANDO
54;NORTE DE SANTANDER;498;OCANA
68;SANTANDER;498;OCAMONTE
15;BOYACA;500;OICATA
23;CORDOBA;500;MONITOS
68;SANTANDER;500;OIBA
05;ANTIOQUIA;501;OLAYA
68;SANTANDER;502;ONZAGA
41;HUILA;503;OPORAPA
73;TOLIMA;504;ORTEGA
25;CUNDINAMARCA;506;VENECIA
52;NARINO;506;OSPINA
15;BOYACA;507;OTANCHE
70;SUCRE;508;OVEJAS
15;BOYACA;511;PACHAVITA
17;CALDAS;513;PACORA
19;CAUCA;513;PADILLA
25;CUNDINAMARCA;513;PACHO
15;BOYACA;514;PAEZ
15;BOYACA;516;PAIPA
19;CAUCA;517;PAEZ
20;CESAR;517;PAILITAS
15;BOYACA;518;PAJARITO
25;CUNDINAMARCA;518;PAIME
41;HUILA;518;PAICOL
54;NORTE DE SANTANDER;518;PAMPLONA
08;ATLANTICO;520;PALMAR DE VARELA
52;NARINO;520;FRANCISCO PIZARRO
54;NORTE DE SANTANDER;520;PAMPLONITA
73;TOLIMA;520;PALOCABILDO
76;VALLE DEL CAUCA;520;PALMIRA
15;BOYACA;522;PANQUEBA
68;SANTANDER;522;PALMAR
70;SUCRE;523;PALMITO
17;CALDAS;524;PALESTINA
25;CUNDINAMARCA;524;PANDI
41;HUILA;524;PALERMO
68;SANTANDER;524;PALMAS DEL SOCORRO
99;VICHADA;524;LA PRIMAVERA
25;CUNDINAMARCA;530;PARATEBUENO
41;HUILA;530;PALESTINA
91;AMAZONAS;530;PUERTO ALEGRIA
15;BOYACA;531;PAUNA
19;CAUCA;532;PATIA
15;BOYACA;533;PAYA
19;CAUCA;533;PIAMONTE
68;SANTANDER;533;PARAMO
25;CUNDINAMARCA;535;PASCA
91;AMAZONAS;536;PUERTO ARICA
15;BOYACA;537;PAZ DE RIO
52;NARINO;540;POLICARPA
91;AMAZONAS;540;PUERTO NARINO
05;ANTIOQUIA;541;PENOL
17;CALDAS;541;PENSILVANIA
47;MAGDALENA;541;PEDRAZA
15;BOYACA;542;PESCA
05;ANTIOQUIA;543;PEQUE
47;MAGDALENA;545;PIJINO DEL CARMEN
68;SANTANDER;547;PIEDECUESTA
73;TOLIMA;547;PIEDRAS
19;CAUCA;548;PIENDAMO - TUNIA
41;HUILA;548;PITAL
63;QUINDIO;548;PIJAO
08;ATLANTICO;549;PIOJO
13;BOLIVAR;549;PINILLOS
68;SANTANDER;549;PINCHOTE
15;BOYACA;550;PISBA
20;CESAR;550;PELAYA
41;HUILA;551;PITALITO
47;MAGDALENA;551;PIVIJAY
54;NORTE DE SANTANDER;553;PUERTO SANTANDER
23;CORDOBA;555;PLANETA RICA
47;MAGDALENA;555;PLATO
73;TOLIMA;555;PLANADAS
08;ATLANTICO;558;POLONUEVO
08;ATLANTICO;560;PONEDERA
44;LA GUAJIRA;560;MANAURE
52;NARINO;560;POTOSI
73;TOLIMA;563;PRADO
76;VALLE DEL CAUCA;563;PRADERA
88;ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;564;PROVIDENCIA
52;NARINO;565;PROVIDENCIA
50;META;568;PUERTO GAITAN
86;PUTUMAYO;568;PUERTO ASIS
86;PUTUMAYO;569;PUERTO CAICEDO
20;CESAR;570;PUEBLO BELLO
23;CORDOBA;570;PUEBLO NUEVO
47;MAGDALENA;570;PUEBLOVIEJO
86;PUTUMAYO;571;PUERTO GUZMAN
15;BOYACA;572;PUERTO BOYACA
25;CUNDINAMARCA;572;PUERTO SALGAR
66;RISARALDA;572;PUEBLO RICO
68;SANTANDER;572;PUENTE NACIONAL
08;ATLANTICO;573;PUERTO COLOMBIA
19;CAUCA;573;PUERTO TEJADA
50;META;573;PUERTO LOPEZ
52;NARINO;573;PUERRES
68;SANTANDER;573;PUERTO PARRA
86;PUTUMAYO;573;PUERTO LEGUIZAMO
23;CORDOBA;574;PUERTO ESCONDIDO
68;SANTANDER;575;PUERTO WILCHES
05;ANTIOQUIA;576;PUEBLORRICO
50;META;577;PUERTO LLERAS
05;ANTIOQUIA;579;PUERTO BERRIO
13;BOLIVAR;580;REGIDOR
15;BOYACA;580;QUIPAMA
23;CORDOBA;580;PUERTO LIBERTADOR
25;CUNDINAMARCA;580;PULI
27;CHOCO;580;RIO IRO
05;ANTIOQUIA;585;PUERTO NARE
19;CAUCA;585;PURACE
52;NARINO;585;PUPIALES
73;TOLIMA;585;PURIFICACION
23;CORDOBA;586;PURISIMA DE LA CONCEPCION
50;META;590;PUERTO RICO
05;ANTIOQUIA;591;PUERTO TRIUNFO
81;ARAUCA;591;PUERTO RONDON
18;CAQUETA;592;PUERTO RICO
25;CUNDINAMARCA;592;QUEBRADANEGRA
25;CUNDINAMARCA;594;QUETAME
63;QUINDIO;594;QUIMBAYA
66;RISARALDA;594;QUINCHIA
25;CUNDINAMARCA;596;QUIPILE
15;BOYACA;599;RAMIRIQUI
25;CUNDINAMARCA;599;APULO
54;NORTE DE SANTANDER;599;RAGONVALIA
13;BOLIVAR;600;RIO VIEJO
15;BOYACA;600;RAQUIRA
27;CHOCO;600;RIO QUITO
05;ANTIOQUIA;604;REMEDIOS
47;MAGDALENA;605;REMOLINO
08;ATLANTICO;606;REPELON
50;META;606;RESTREPO
76;VALLE DEL CAUCA;606;RESTREPO
05;ANTIOQUIA;607;RETIRO
18;CAQUETA;610;SAN JOSE DEL FRAGUA
25;CUNDINAMARCA;612;RICAURTE
52;NARINO;612;RICAURTE
17;CALDAS;614;RIOSUCIO
20;CESAR;614;RIO DE ORO
05;ANTIOQUIA;615;RIONEGRO
27;CHOCO;615;RIOSUCIO
41;HUILA;615;RIVERA
68;SANTANDER;615;RIONEGRO
17;CALDAS;616;RISARALDA
73;TOLIMA;616;RIOBLANCO
76;VALLE DEL CAUCA;616;RIOFRIO
13;BOLIVAR;620;SAN CRISTOBAL
15;BOYACA;621;RONDON
20;CESAR;621;LA PAZ
52;NARINO;621;ROBERTO PAYAN
19;CAUCA;622;ROSAS
73;TOLIMA;622;RONCESVALLES
76;VALLE DEL CAUCA;622;ROLDANILLO
73;TOLIMA;624;ROVIRA
99;VICHADA;624;SANTA ROSALIA
05;ANTIOQUIA;628;SABANALARGA
05;ANTIOQUIA;631;SABANETA
15;BOYACA;632;SABOYA
08;ATLANTICO;634;SABANAGRANDE
08;ATLANTICO;638;SABANALARGA
15;BOYACA;638;SACHICA
05;ANTIOQUIA;642;SALGAR
25;CUNDINAMARCA;645;SAN ANTONIO DEL TEQUENDAMA
15;BOYACA;646;SAMACA
05;ANTIOQUIA;647;SAN ANDRES DE CUERQUIA
13;BOLIVAR;647;SAN ESTANISLAO
05;ANTIOQUIA;649;SAN CARLOS
25;CUNDINAMARCA;649;SAN BERNARDO
13;BOLIVAR;650;SAN FERNANDO
44;LA GUAJIRA;650;SAN JUAN DEL CESAR
05;ANTIOQUIA;652;SAN FRANCISCO
17;CALDAS;653;SALAMINA
25;CUNDINAMARCA;653;SAN CAYETANO
13;BOLIVAR;654;SAN JACINTO
13;BOLIVAR;655;SAN JACINTO DEL CAUCA
68;SANTANDER;655;SABANA DE TORRES
05;ANTIOQUIA;656;SAN JERONIMO
13;BOLIVAR;657;SAN JUAN NEPOMUCENO
05;ANTIOQUIA;658;SAN JOSE DE LA MONTANA
25;CUNDINAMARCA;658;SAN FRANCISCO
05;ANTIOQUIA;659;SAN JUAN DE URABA
05;ANTIOQUIA;660;SAN LUIS
15;BOYACA;660;SAN EDUARDO
23;CORDOBA;660;SAHAGUN
27;CHOCO;660;SAN JOSE DEL PALMAR
41;HUILA;660;SALADOBLANCO
47;MAGDALENA;660;SABANAS DE SAN ANGEL
54;NORTE DE SANTANDER;660;SALAZAR
17;CALDAS;662;SAMANA
25;CUNDINAMARCA;662;SAN JUAN DE RIOSECO
05;ANTIOQUIA;664;SAN PEDRO DE LOS MILAGROS
15;BOYACA;664;SAN JOSE DE PARE
05;ANTIOQUIA;665;SAN PEDRO DE URABA
17;CALDAS;665;SAN JOSE
97;VAUPES;666;TARAIRA
05;ANTIOQUIA;667;SAN RAFAEL
13;BOLIVAR;667;SAN MARTIN DE LOBA
15;BOYACA;667;SAN LUIS DE GACENO
41;HUILA;668;SAN AGUSTIN
68;SANTANDER;669;SAN ANDRES
91;AMAZONAS;669;PUERTO SANTANDER
05;ANTIOQUIA;670;SAN ROQUE
13;BOLIVAR;670;SAN PABLO
23;CORDOBA;670;SAN ANDRES DE SOTAVENTO
54;NORTE DE SANTANDER;670;SAN CALIXTO
70;SUCRE;670;SAMPUES
76;VALLE DEL CAUCA;670;SAN PEDRO
73;TOLIMA;671;SALDANA
23;CORDOBA;672;SAN ANTERO
13;BOLIVAR;673;SANTA CATALINA
15;BOYACA;673;SAN MATEO
54;NORTE DE SANTANDER;673;SAN CAYETANO
68;SANTANDER;673;SAN BENITO
05;ANTIOQUIA;674;SAN VICENTE FERRER
08;ATLANTICO;675;SANTA LUCIA
23;CORDOBA;675;SAN BERNARDO DEL VIENTO
47;MAGDALENA;675;SALAMINA
73;TOLIMA;675;SAN ANTONIO
15;BOYACA;676;SAN MIGUEL DE SEMA
41;HUILA;676;SANTA MARIA
23;CORDOBA;678;SAN CARLOS
52;NARINO;678;SAMANIEGO
70;SUCRE;678;SAN BENITO ABAD
73;TOLIMA;678;SAN LUIS
05;ANTIOQUIA;679;SANTA BARBARA
68;SANTANDER;679;SAN GIL
50;META;680;SAN CARLOS DE GUAROA
54;NORTE DE SANTANDER;680;SANTIAGO
15;BOYACA;681;SAN PABLO DE BORBUR
23;CORDOBA;682;SAN JOSE DE URE
66;RISARALDA;682;SANTA ROSA DE CABAL
68;SANTANDER;682;SAN JOAQUIN
13;BOLIVAR;683;SANTA ROSA
50;META;683;SAN JUAN DE ARAMA
52;NARINO;683;SANDONA
68;SANTANDER;684;SAN JOSE DE MIRANDA
08;ATLANTICO;685;SANTO TOMAS
52;NARINO;685;SAN BERNARDO
05;ANTIOQUIA;686;SANTA ROSA DE OSOS
15;BOYACA;686;SANTANA
23;CORDOBA;686;SAN PELAYO
50;META;686;SAN JUANITO
68;SANTANDER;686;SAN MIGUEL
73;TOLIMA;686;SANTA ISABEL
52;NARINO;687;SAN LORENZO
66;RISARALDA;687;SANTUARIO
13;BOLIVAR;688;SANTA ROSA DEL SUR
50;META;689;SAN MARTIN
68;SANTANDER;689;SAN VICENTE DE CHUCURI
05;ANTIOQUIA;690;SANTO DOMINGO
15;BOYACA;690;SANTA MARIA
63;QUINDIO;690;SALENTO
47;MAGDALENA;692;SAN SEBASTIAN DE BUENAVISTA
15;BOYACA;693;SANTA ROSA DE VITERBO
19;CAUCA;693;SAN SEBASTIAN
52;NARINO;693;SAN PABLO
52;NARINO;694;SAN PEDRO DE CARTAGO
15;BOYACA;696;SANTA SOFIA
52;NARINO;696;SANTA BARBARA
05;ANTIOQUIA;697;EL SANTUARIO
19;CAUCA;698;SANTANDER DE QUILICHAO
52;NARINO;699;SANTACRUZ
19;CAUCA;701;SANTA ROSA
70;SUCRE;702;SAN JUAN DE BETULIA
47;MAGDALENA;703;SAN ZENON
68;SANTANDER;705;SANTA BARBARA
47;MAGDALENA;707;SANTA ANA
70;SUCRE;708;SAN MARCOS
20;CESAR;710;SAN ALBERTO
50;META;711;VISTAHERMOSA
70;SUCRE;713;SAN ONOFRE
70;SUCRE;717;SAN PEDRO
25;CUNDINAMARCA;718;SASAIMA
15;BOYACA;720;SATIVANORTE
47;MAGDALENA;720;SANTA BARBARA DE PINTO
52;NARINO;720;SAPUYES
54;NORTE DE SANTANDER;720;SARDINATA
68;SANTANDER;720;SANTA HELENA DEL OPON
15;BOYACA;723;SATIVASUR
05;ANTIOQUIA;736;SEGOVIA
25;CUNDINAMARCA;736;SESQUILE
76;VALLE DEL CAUCA;736;SEVILLA
81;ARAUCA;736;SARAVENA
15;BOYACA;740;SIACHOQUE
25;CUNDINAMARCA;740;SIBATE
70;SUCRE;742;SAN LUIS DE SINCE
19;CAUCA;743;SILVIA
25;CUNDINAMARCA;743;SILVANIA
54;NORTE DE SANTANDER;743;SILOS
13;BOLIVAR;744;SIMITI
25;CUNDINAMARCA;745;SIMIJACA
27;CHOCO;745;SIPI
47;MAGDALENA;745;SITIONUEVO
68;SANTANDER;745;SIMACOTA
86;PUTUMAYO;749;SIBUNDOY
20;CESAR;750;SAN DIEGO
15;BOYACA;753;SOATA
18;CAQUETA;753;SAN VICENTE DEL CAGUAN
25;CUNDINAMARCA;754;SOACHA
15;BOYACA;755;SOCOTA
68;SANTANDER;755;SOCORRO
86;PUTUMAYO;755;SAN FRANCISCO
05;ANTIOQUIA;756;SONSON
18;CAQUETA;756;SOLANO
15;BOYACA;757;SOCHA
86;PUTUMAYO;757;SAN MIGUEL
08;ATLANTICO;758;SOLEDAD
25;CUNDINAMARCA;758;SOPO
15;BOYACA;759;SOGAMOSO
13;BOLIVAR;760;SOPLAVIENTO
19;CAUCA;760;SOTARA
86;PUTUMAYO;760;SANTIAGO
05;ANTIOQUIA;761;SOPETRAN
15;BOYACA;761;SOMONDOCO
15;BOYACA;762;SORA
15;BOYACA;763;SOTAQUIRA
15;BOYACA;764;SORACA
25;CUNDINAMARCA;769;SUBACHOQUE
08;ATLANTICO;770;SUAN
20;CESAR;770;SAN MARTIN
41;HUILA;770;SUAZA
68;SANTANDER;770;SUAITA
73;TOLIMA;770;SUAREZ
70;SUCRE;771;SUCRE
25;CUNDINAMARCA;772;SUESCA
68;SANTANDER;773;SUCRE
99;VICHADA;773;CUMARIBO
15;BOYACA;774;SUSACON
15;BOYACA;776;SUTAMARCHAN
17;CALDAS;777;SUPIA
25;CUNDINAMARCA;777;SUPATA
15;BOYACA;778;SUTATENZA
25;CUNDINAMARCA;779;SUSA
13;BOLIVAR;780;TALAIGUA NUEVO
19;CAUCA;780;SUAREZ
68;SANTANDER;780;SURATA
25;CUNDINAMARCA;781;SUTATAUSA
18;CAQUETA;785;SOLITA
19;CAUCA;785;SUCRE
25;CUNDINAMARCA;785;TABIO
52;NARINO;786;TAMINANGO
20;CESAR;787;TAMALAMEQUE
27;CHOCO;787;TADO
52;NARINO;788;TANGUA
05;ANTIOQUIA;789;TAMESIS
05;ANTIOQUIA;790;TARAZA
15;BOYACA;790;TASCO
41;HUILA;791;TARQUI
05;ANTIOQUIA;792;TARSO
25;CUNDINAMARCA;793;TAUSA
81;ARAUCA;794;TAME
25;CUNDINAMARCA;797;TENA
41;HUILA;797;TESALIA
15;BOYACA;798;TENZA
47;MAGDALENA;798;TENERIFE
91;AMAZONAS;798;TARAPACA
25;CUNDINAMARCA;799;TENJO
41;HUILA;799;TELLO
27;CHOCO;800;UNGUIA
54;NORTE DE SANTANDER;800;TEORAMA
41;HUILA;801;TERUEL
15;BOYACA;804;TIBANA
25;CUNDINAMARCA;805;TIBACUY
15;BOYACA;806;TIBASOSA
19;CAUCA;807;TIMBIO
23;CORDOBA;807;TIERRALTA
25;CUNDINAMARCA;807;TIBIRITA
41;HUILA;807;TIMANA
15;BOYACA;808;TINJACA
05;ANTIOQUIA;809;TITIRIBI
19;CAUCA;809;TIMBIQUI
13;BOLIVAR;810;TIQUISIO
15;BOYACA;810;TIPACOQUE
27;CHOCO;810;UNION PANAMERICANA
54;NORTE DE SANTANDER;810;TIBU
15;BOYACA;814;TOCA
23;CORDOBA;815;TUCHIN
25;CUNDINAMARCA;815;TOCAIMA
15;BOYACA;816;TOGUI
25;CUNDINAMARCA;817;TOCANCIPA
05;ANTIOQUIA;819;TOLEDO
15;BOYACA;820;TOPAGA
54;NORTE DE SANTANDER;820;TOLEDO
68;SANTANDER;820;TONA
70;SUCRE;820;SANTIAGO DE TOLU
19;CAUCA;821;TORIBIO
15;BOYACA;822;TOTA
25;CUNDINAMARCA;823;TOPAIPI
70;SUCRE;823;TOLU VIEJO
76;VALLE DEL CAUCA;823;TORO
19;CAUCA;824;TOTORO
76;VALLE DEL CAUCA;828;TRUJILLO
08;ATLANTICO;832;TUBARA
15;BOYACA;832;TUNUNGUA
76;VALLE DEL CAUCA;834;TULUA
15;BOYACA;835;TURMEQUE
52;NARINO;835;SAN ANDRES DE TUMACO
13;BOLIVAR;836;TURBACO
05;ANTIOQUIA;837;TURBO
15;BOYACA;837;TUTA
13;BOLIVAR;838;TURBANA
52;NARINO;838;TUQUERRES
15;BOYACA;839;TUTAZA
25;CUNDINAMARCA;839;UBALA
25;CUNDINAMARCA;841;UBAQUE
05;ANTIOQUIA;842;URAMITA
15;BOYACA;842;UMBITA
25;CUNDINAMARCA;843;VILLA DE SAN DIEGO DE UBATE
19;CAUCA;845;VILLA RICA
25;CUNDINAMARCA;845;UNE
76;VALLE DEL CAUCA;845;ULLOA
05;ANTIOQUIA;847;URRAO
44;LA GUAJIRA;847;URIBIA
08;ATLANTICO;849;USIACURI
25;CUNDINAMARCA;851;UTICA
05;ANTIOQUIA;854;VALDIVIA
73;TOLIMA;854;VALLE DE SAN JUAN
23;CORDOBA;855;VALENCIA
44;LA GUAJIRA;855;URUMITA
68;SANTANDER;855;VALLE DE SAN JOSE
05;ANTIOQUIA;856;VALPARAISO
05;ANTIOQUIA;858;VEGACHI
18;CAQUETA;860;VALPARAISO
05;ANTIOQUIA;861;VENECIA
15;BOYACA;861;VENTAQUEMADA
68;SANTANDER;861;VELEZ
73;TOLIMA;861;VENADILLO
25;CUNDINAMARCA;862;VERGARA
76;VALLE DEL CAUCA;863;VERSALLES
86;PUTUMAYO;865;VALLE DEL GUAMUEZ
17;CALDAS;867;VICTORIA
25;CUNDINAMARCA;867;VIANI
68;SANTANDER;867;VETAS
76;VALLE DEL CAUCA;869;VIJES
73;TOLIMA;870;VILLAHERMOSA
25;CUNDINAMARCA;871;VILLAGOMEZ
54;NORTE DE SANTANDER;871;VILLA CARO
41;HUILA;872;VILLAVIEJA
68;SANTANDER;872;VILLANUEVA
05;ANTIOQUIA;873;VIGIA DEL FUERTE
13;BOLIVAR;873;VILLANUEVA
17;CALDAS;873;VILLAMARIA
25;CUNDINAMARCA;873;VILLAPINZON
73;TOLIMA;873;VILLARRICA
44;LA GUAJIRA;874;VILLANUEVA
54;NORTE DE SANTANDER;874;VILLA DEL ROSARIO
25;CUNDINAMARCA;875;VILLETA
17;CALDAS;877;VITERBO
25;CUNDINAMARCA;878;VIOTA
15;BOYACA;879;VIRACACHA
94;GUAINIA;884;PUERTO COLOMBIA
05;ANTIOQUIA;885;YALI
25;CUNDINAMARCA;885;YACOPI
41;HUILA;885;YAGUARA
52;NARINO;885;YACUANQUER
86;PUTUMAYO;885;VILLAGARZON
05;ANTIOQUIA;887;YARUMAL
05;ANTIOQUIA;890;YOLOMBO
76;VALLE DEL CAUCA;890;YOTOCO
76;VALLE DEL CAUCA;892;YUMBO
05;ANTIOQUIA;893;YONDO
13;BOLIVAR;894;ZAMBRANO
05;ANTIOQUIA;895;ZARAGOZA
68;SANTANDER;895;ZAPATOCA
76;VALLE DEL CAUCA;895;ZARZAL
15;BOYACA;897;ZETAQUIRA
25;CUNDINAMARCA;898;ZIPACON
